Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Mr.	Hollier	Adam Jacques Chester Lafayette		C	MI13	2022	5/14/2022	10048102
	Aadland	Erik		C	CO07	2022	1/17/2022	10044401
	Acevedo-Arreguin	Luis Antonio		C	CA18	2022	4/23/2022	10046717
	Achenbach	Jack Joseph		C	FL10	2022	5/15/2022	10048864
	Adeimy	Deborah		C	FL21	2022	7/14/2022	10047887
	Adeimy	Deborah		X	FL21	2022	5/17/2022	30016710
	Adkins	Amanda		C	KS03	2022	5/11/2022	10048221
	Afzal	Joseph Edward		C	NV02	2022	6/14/2022	10049623
	Ahmed	Junaid		C	IL08	2022	5/17/2022	10048881
	Aiken	William		C	NC01	2022	5/25/2022	8218852
	Al-Abdrabbuh	Sami		C	OR04	2022	4/15/2022	10044796
	Alcantara	Christopher Manuel		C	FL11	2022	5/9/2022	10047756
	Alford	Mark		C	MO04	2022	6/24/2022	10049006
	Alford	Mark		X	MO04	2022	6/6/2022	30017202
	Allcorn	Tyler		X	CO08	2022	6/22/2022	30017107
	Allen	Bill		C	IN07	2022	5/21/2022	10044642
Dr.	Allen	Brad Dr		C	CA24	2022	5/11/2022	10048089
Hon.	Allen	Richard W.		P	GA12	2022	2/13/2022	20020448
Hon.	Allen	Richard W.		P	GA12	2022	3/9/2022	20020585
	Alley	Josh		C	TN06	2022	5/17/2022	10049328
Dr.	Almonord	Valbrun		C	GA03	2022	5/12/2022	10048361
	Almonte	Melinda		D	FL23	2022	4/28/2022	40003341
	Alonso Leon	Teresa		C	OR06	2022	5/17/2022	10049338
	Altman	Larry Thomas	III	C	VA02	2022	5/16/2022	10048908
	Amato	Bruno		W	CA23	2022	4/28/2022	7850
	Ambrose	Mark		C	MI11	2022	5/10/2022	10047646
	Ambrose	Nicolee		C	MD02	2022	6/20/2022	10048962
	Ambrose	Nicolee		X	MD02	2022	6/22/2022	30017180
	Andersen	Carl E.		C	CO07	2022	3/24/2022	10044558
	Anderson	Byron Avery		C	AZ06	2022	5/11/2022	10048203
	Anderson	David		C	WA09	2022	5/28/2022	10049559
	Anderson	Derrick		C	VA07	2022	5/14/2022	10048115
	Andrews	Naomi		C	OK02	2022	5/13/2022	10048635
	Arballo	Phil		C	CA13	2022	5/16/2022	10046494
	Arianas	Peter Steven		X	FL21	2022	5/6/2022	30016420
Dr.	Arredondo-Lynch	Alma G.		C	TX23	2022	5/13/2022	10048622
	Arrington	Katie		C	SC01	2022	5/15/2022	10048891
Mrs.	Arthur	Barbara		C	SC07	2022	5/17/2022	10049320
	Asencio	Robert		C	FL28	2022	7/15/2022	10049992
Hon.	Auchincloss	Jake		P	MA04	2022	4/10/2022	20020708
	Ausbrooks	Jimmy Clifton		C	KY01	2022	4/26/2022	10046211
	Ausman	Dick		C	WI07	2022	8/2/2022	10050080
	Austin	Kyle Ray		D	MT02	2022	4/18/2022	8218651
Mr.	Awtrey	Patrick Eugene		C	OH14	2022	1/4/2022	10044323
Hon.	Axne	Cindy		P	IA03	2022	2/8/2022	20020367
Hon.	Axne	Cindy		P	IA03	2022	3/7/2022	20020474
Hon.	Axne	Cindy		P	IA03	2022	6/3/2022	20021134
Hon.	Axne	Cindy		P	IA03	2022	7/2/2022	20021236
Hon.	Axne	Cindy		P	IA03	2022	8/15/2022	20021555
	Baan	Andy		C	VA02	2022	6/13/2022	10049172
	Babb	Joseph Ray		C	VA11	2022	4/11/2022	10044795
	Badhasso	Amane		O	MN04	2022	5/24/2022	8218784
	Bah	Omar		C	RI02	2022	5/31/2022	10047551
	Bah	Omar		X	RI02	2022	6/7/2022	8218980
	Bailey	Kathleen Cordelia		W	TX05	2022	4/28/2022	7845
Mr.	Bailey	Scott Christian		C	CO01	2022	3/28/2022	10044733
Mr.	Bailey	Scott Christian		D	CO01	2022	5/12/2022	8218763
	Balderramos Robinson	Corinna		C	FL18	2022	5/13/2022	10047602
	Balint	Rebecca Becca		C	VT00	2022	6/9/2022	8219004
	Balint	Rebecca Becca		C	VT00	2022	7/13/2022	8219085
	Balint	Rebecca Becca		X	VT00	2022	6/7/2022	8218985
	Banks	Subrina		C	OK05	2022	5/23/2022	10048289
	Banks	Subrina		X	OK05	2022	5/13/2022	8218738
	Barham	Jerry		C	MO05	2022	6/30/2022	10049809
	Barker	Guy Stuart		C	OK02	2022	6/2/2022	10048380
